step,epoch,loss,learning_rate,grad_norm,eval_loss,tokens_per_second
step,epoch,loss,learning_rate,grad_norm,eval_loss,tokens_per_second
1,0.0023,0.5566959381103516,0.0,1.0206130743026733,,
10,0.0228,0.5129454930623373,1.8e-05,0.31428664922714233,,
20,0.0456,0.42187347412109377,3.8e-05,0.22275876998901367,,
30,0.0684,0.35419111251831054,5.8e-05,0.12897686660289764,,
40,0.0912,0.33182051181793215,7.800000000000001e-05,0.13382825255393982,,
50,0.114,0.32222278118133546,9.8e-05,0.12043357640504837,,
60,0.1368,0.31586828231811526,0.000118,0.1115846037864685,,
70,0.1596,0.3145848512649536,0.000138,0.12243898212909698,,
80,0.1824,0.31121392250061036,0.00015800000000000002,0.11670465022325516,,
90,0.2052,0.3033397436141968,0.00017800000000000002,0.1150456890463829,,
100,0.2281,0.2959017753601074,0.00019800000000000002,0.10296357423067093,,
110,0.2509,0.3049950122833252,0.00019999377503316916,0.10938388854265213,,
120,0.2737,0.3011604309082031,0.00019997225762429603,0.10452451556921005,,
130,0.2965,0.29385616779327395,0.00019993537422843054,0.10428330302238464,,
140,0.3193,0.28751578330993655,0.00019988313051464318,0.10311191529035568,,
150,0.3421,0.2926263093948364,0.00019981553451292396,0.11366426944732666,,
160,0.3649,0.29160447120666505,0.00019973259661294806,0.11879022419452667,,
170,0.3877,0.2951932668685913,0.00019963432956247892,0.11165377497673035,,
180,0.4105,0.2920787811279297,0.00019952074846540891,0.09573306888341904,,
190,0.4333,0.2859350204467773,0.00019939187077943783,0.09118648618459702,,
200,0.4561,0.2905292987823486,0.00019924771631338957,0.09608922898769379,,
210,0.4789,0.2827531099319458,0.00019908830722416748,0.09544698148965836,,
220,0.5017,0.28724822998046873,0.0001989136680133488,0.09336470812559128,,
230,0.5245,0.28535759449005127,0.00019872382552341865,0.09340130537748337,,
240,0.5473,0.2850442886352539,0.00019851880893364445,0.0983457863330841,,
250,0.5701,0.28526556491851807,0.00019829864975559069,0.0938861221075058,,
260,0.5929,0.28187553882598876,0.00019806338182827582,0.10844364017248154,,
270,0.6157,0.28216023445129396,0.00019781304131297095,0.09409866482019424,,
280,0.6385,0.2765757322311401,0.00019754766668764176,0.09078509360551834,,
290,0.6613,0.2853955030441284,0.00019726729874103448,0.08695866167545319,,
300,0.6842,0.2771951913833618,0.0001969719805664064,0.09896406531333923,,
310,0.707,0.27600789070129395,0.00019666175755490232,0.09381453692913055,,
320,0.7298,0.2771031141281128,0.00019633667738857806,0.09305794537067413,,
330,0.7526,0.273164963722229,0.00019599679003307134,0.09004687517881393,,
340,0.7754,0.2776515483856201,0.000195642147729922,0.09612622112035751,,
350,0.7982,0.2738356590270996,0.00019527280498854248,0.09514674544334412,,
360,0.821,0.27616426944732664,0.00019488881857783935,0.09132235497236252,,
370,0.8438,0.2811493158340454,0.00019449024751748802,0.09182316064834595,,
380,0.8666,0.2750673294067383,0.00019407715306886113,0.09025182574987411,,
390,0.8894,0.273677396774292,0.0001936495987256126,0.09009338170289993,,
