step,epoch,loss,reward_mean,reward_std,frac_zero_std,completion_len,clip_ratio,entropy,lr
1,0.0011,0.0091734379529953,0.53515625,0.5013698935508728,0.125,143.59896850585938,0.0,0.19469169527292252,0.0
2,0.0022,-0.02668892778456211,,,,,0.0,0.18539821356534958,1.7857142857142858e-07
3,0.0033,-0.016320329159498215,,,,,0.0008480939723085612,0.19942592829465866,3.5714285714285716e-07
4,0.0043,-0.002384431194514036,,,,,0.0012369064497761428,0.20130851864814758,5.357142857142857e-07
5,0.0054,-0.005934244487434626,,,,,0.0009052589302882552,0.18841439485549927,7.142857142857143e-07
6,0.0065,0.006313118152320385,,,,,0.0007129381992854178,0.20326720923185349,8.928571428571429e-07
7,0.0076,0.007925999350845814,,,,,0.0014252820110414177,0.20701603591442108,1.0714285714285714e-06
8,0.0087,0.023771796375513077,,,,,0.0008963782456703484,0.19488009065389633,1.25e-06
9,0.0098,0.011058486066758633,0.48046875,0.502223551273346,0.0833333358168602,135.0390625,0.0015954702394083142,0.17575086653232574,1.4285714285714286e-06
10,0.0109,-0.0026192059740424156,,,,,0.0010859437461476773,0.19775229692459106,1.6071428571428574e-06
11,0.012,-0.0031855315901339054,,,,,0.0007869395194575191,0.1808084324002266,1.7857142857142859e-06
12,0.013,0.005690969526767731,,,,,0.0006387699686456472,0.1923312395811081,1.9642857142857144e-06
13,0.0141,-0.0011354349553585052,,,,,0.00044541874376591295,0.18554237484931946,2.1428571428571427e-06
14,0.0152,0.017092209309339523,,,,,0.0006806671881349757,0.21590863168239594,2.321428571428572e-06
15,0.0163,-0.014683347195386887,,,,,0.0006668299029115587,0.1940130814909935,2.5e-06
16,0.0174,-0.0024331959430128336,,,,,0.001151502481661737,0.17829397320747375,2.6785714285714285e-06
17,0.0185,0.02799118310213089,0.67578125,0.4707772731781006,0.125,138.9765625,0.000925709871808067,0.17168857902288437,2.8571428571428573e-06
18,0.0196,-0.006613410077989101,,,,,0.001112966681830585,0.17533471435308456,3.0357142857142856e-06
19,0.0207,0.0035917905624955893,,,,,0.00041772214171942323,0.158913291990757,3.2142857142857147e-06
20,0.0217,-0.027673201635479927,,,,,0.0007899438787717372,0.15927620977163315,3.3928571428571435e-06
21,0.0228,0.006133378483355045,,,,,0.0001485884131398052,0.16942015290260315,3.5714285714285718e-06
22,0.0239,0.007210860028862953,,,,,0.000626996043138206,0.1855883002281189,3.7500000000000005e-06
23,0.025,-0.008006609976291656,,,,,0.0003129330580122769,0.15910779684782028,3.928571428571429e-06
24,0.0261,-0.021337514743208885,,,,,0.0012319498928263783,0.17441848665475845,4.107142857142857e-06
25,0.0272,0.026439141482114792,0.5026041865348816,0.5006455183029175,0.0833333358168602,147.125,0.0008877198561094701,0.1890300139784813,4.2857142857142855e-06
26,0.0283,0.01308102160692215,,,,,0.0010779901640489697,0.1856168583035469,4.464285714285715e-06
27,0.0293,0.0004897965118288994,,,,,0.000618169957306236,0.16714057326316833,4.642857142857144e-06
28,0.0304,0.017040561884641647,,,,,0.0015263785608112812,0.17532997578382492,4.821428571428572e-06
29,0.0315,-0.030965570360422134,,,,,0.0008540539420209825,0.17058656364679337,5e-06
30,0.0326,-0.023274801671504974,,,,,0.0002615062694530934,0.18617402762174606,4.999999409802593e-06
31,0.0337,-0.004685875028371811,,,,,0.0015658043557778,0.1825830191373825,4.999997639210647e-06
32,0.0348,-0.006557019427418709,,,,,0.0007355539710260928,0.18277090787887573,4.9999946882250005e-06
33,0.0359,0.00035762786865234375,0.5703125,0.49567729234695435,0.125,136.9244842529297,0.00029019152862019837,0.17478027194738388,4.999990556847045e-06
34,0.037,0.035506315529346466,,,,,0.0007726396142970771,0.1861797422170639,4.9999852450787335e-06
35,0.038,0.01236593909561634,,,,,0.0009890210931189358,0.16635820269584656,4.999978752922572e-06
36,0.0391,0.03927472233772278,,,,,0.00013620266690850258,0.1722426563501358,4.999971080381626e-06
37,0.0402,-0.01199105940759182,,,,,0.0002843357651727274,0.16973841935396194,4.9999622274595195e-06
38,0.0413,-0.0294853113591671,,,,,0.000501504517160356,0.17881526052951813,4.999952194160431e-06
39,0.0424,-0.012926217168569565,,,,,0.00047885224921628833,0.1695060059428215,4.999940980489098e-06
40,0.0435,-0.03404911607503891,,,,,0.0007438537577399984,0.18274495005607605,4.9999285864508175e-06
41,0.0446,0.01716984435915947,0.5520833730697632,0.4979287087917328,0.2083333432674408,133.2369842529297,0.0008359364292118698,0.22350525856018066,4.999915012051437e-06
42,0.0457,-0.028499174863100052,,,,,0.0007765753543935716,0.19115716964006424,4.99990025729737e-06
43,0.0467,0.00048636458814144135,,,,,0.00016966406838037074,0.19843395054340363,4.999884322195581e-06
44,0.0478,4.2584724724292755e-06,,,,,0.0006143700156826526,0.18781176954507828,4.999867206753593e-06
45,0.0489,0.010249527171254158,,,,,0.000879047263879329,0.23355960100889206,4.999848910979489e-06
46,0.05,0.034625254571437836,,,,,0.0006074635602999479,0.19053246080875397,4.999829434881907e-06
47,0.0511,-0.005781468935310841,,,,,0.0011072210036218166,0.20543503761291504,4.9998087784700426e-06
48,0.0522,-0.0056694261729717255,,,,,0.0006499920564237982,0.18895161151885986,4.999786941753649e-06
49,0.0533,0.0032955443020910025,0.55859375,0.4991680681705475,0.0416666679084301,140.8984375,0.0006004464812576771,0.20272965729236603,4.999763924743036e-06
